GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javabattleship,com.battleship,UserCell,53,5,14,0,17,2,9,1,2,1
javabattleship,com.battleship,LocalPlayer,12,93,0,0,3,12,2,3,2,3
javabattleship,com.battleship,BotPlayer,104,0,0,0,14,0,5,0,5,0
javabattleship,com.battleship,EasyAttackStrategy,0,54,0,4,0,11,0,5,0,3
javabattleship,com.battleship,ScreenWriter,32,10,2,0,11,4,4,2,3,2
javabattleship,com.battleship,Ship,40,41,6,4,5,8,5,3,1,2
javabattleship,com.battleship,SinglePlayerGameController,49,11,0,0,14,4,3,1,3,1
javabattleship,com.battleship,Cell,4,109,1,11,1,35,1,15,0,10
javabattleship,com.battleship,UserInput,25,12,0,0,10,3,2,1,2,1
javabattleship,com.battleship,Main,25,0,0,0,9,0,2,0,2,0
javabattleship,com.battleship,GameBoard,79,190,8,24,15,36,10,15,3,6
javabattleship,com.battleship,UserGameBoard,0,34,0,4,0,7,0,3,0,1
